idref,score,geom
n00195,45,0,01010000200412000093F30F6CE65F604096928A6B21ED3F40
n00196,45,0,010100002004120000AE65321CCF5F60400C129150E9EC3F40
n00197,45,0,010100002004120000013F9935A7606040954FEA268CEF3F40
n00198,45,0,0101000020041200009310F637F26C6040C92E62E98D0C4040
n00199,45,0,0101000020041200007214200AE66C604065E487A5DC0D4040
n00200,45,0,01010000200412000049D345AFAB6C604015617946110C4040
n00201,45,0,010100002004120000F4F34B69E26C60402313F06B240D4040
n00203,45,0,010100002004120000FF8DE2C17B6B60404C998A43EC074040
n00204,45,0,010100002004120000CD61AD90A86B6040450603194B094040
n00205,45,0,0101000020041200005095A58CEE6B60405FA0FF79750B4040
n00207,45,0,010100002004120000AA398ABDE16060409750662893BF3F40
n00208,45,0,01010000200412000065F217C4D1616040F189D063EFC23F40
n00210,45,0,01010000200412000029E96168B5626040D2448E63DAB93F40
n00214,45,0,0101000020041200002A5DB00A8A6260409EFD929E33C53F40
n00215,45,0,010100002004120000DC8A581FEA626040852D2C6E92E33F40
n00216,45,0,01010000200412000062EAF8795D616040C81FB18284E73F40
n00217,45,0,010100002004120000AB3A504C43626040F06371A4D8DE3F40
n00218,45,0,01010000200412000090C657F1BC626040CE03B39D4ADB3F40
n00219,45,0,01010000200412000035A1FFD42E6460409CD6B7DD15D93F40
n00220,45,0,010100002004120000212D848B4B6460402D6002B7EECC3F40
n00221,45,0,010100002004120000FBF14D891A646040131E7E4809D13F40
n00222,45,0,0101000020041200003E4ADBAE0664604081D888168FCF3F40
n00223,45,0,01010000200412000090C07A37F16360409F419EB877CC3F40
n00224,45,0,010100002004120000B58E05E07A64604070A7BE3D19DB3F40
n00225,45,0,010100002004120000F0EA0BD759636040D80DDB1665C83F40
n00227,45,0,010100002004120000472D8320765E6040A02EF76E98CF3F40
n00228,45,0,01010000200412000020798C97535E604083E0F1ED5DCF3F40
n00229,45,0,01010000200412000066F448282261604017C9682E81CD3F40
n00230,45,0,0101000020041200009898785145616040CB2B7C22F4D03F40
n00231,45,0,010100002004120000E264D12AA96160406AABED81B1C93F40
n00234,45,0,010100002004120000BD6026404365604030CE84CBCFCC3F40
n00235,45,0,01010000200412000017A0C8EE5D6460405B7B9FAA42C53F40
n00237,45,0,010100002004120000AD09B31ADC6160400C63C1B3F3BC3F40
n00238,45,0,010100002004120000E6194520A8626040B7578BF447BD3F40
n00239,45,0,010100002004120000A43E24D7A86060404D05268117C53F40
n00240,45,0,010100002004120000CB59E9FFA66060402D93E1783EC53F40
n00241,45,0,0101000020041200005E0542FC0D63604005961238C8D03F40
n00242,45,0,01010000200412000037401F1BB76160402152787533B83F40
n00243,45,0,010100002004120000FE5D448038626040FC9D375F36BB3F40
n00244,45,0,010100002004120000DE6EEE5425636040E02417ADEDBB3F40
n00245,45,0,010100002004120000B7FCD181366360403AB8CF85ECBB3F40
n00246,45,0,01010000200412000071E481C8E26260400EB0A07AB5BB3F40
n00247,45,0,010100002004120000D6BD5F1664626040D51B5A0982B63F40
n00248,45,0,010100002004120000629A8EA5F462604067BAD7497DC73F40
n00249,45,0,010100002004120000C6B31545596260403D659016C2B93F40
n00250,45,0,01010000200412000069D6636C7261604004F40C2B26BC3F40
n00252,45,0,010100002004120000B3EA18FCE262604010F4064E6CC43F40
n00254,45,0,0101000020041200003A9FF0C84E6360405808066BF7C43F40
n00256,45,0,010100002004120000822F9633E561604057714FFCBDAD3F40
n00257,45,0,01010000200412000070BD5C7AEA61604025B44016FDAE3F40
n00258,45,0,010100002004120000847E4BA5046260400CA1945A39B73F40
n00259,45,0,010100002004120000EC45FEAA2D626040B0B4424761BB3F40
n00261,45,0,010100002004120000AD307DAF616260409318A99C9BBB3F40
n00262,45,0,010100002004120000218E1AB8A86A6040A80B676D09414040
n00263,45,0,010100002004120000396D7CDCED6A6040586E0E7CB1404040
n00265,45,0,0101000020041200000562235A3C6560402A1A6B7F673C4040
n00266,45,0,0101000020041200001F1D0D96A06D6040CF06AA903C384040
n00267,45,0,0101000020041200004A8AD9DC226E604074B4AA251D384040
n00268,45,0,0101000020041200005F16C90D756A6040DCA1BCEA5C324040
n00269,45,0,0101000020041200007948E7B2876A6040E822748698314040
n00270,45,0,0101000020041200008560B0762F6E604042FBA24E8A404040
n00271,45,0,010100002004120000D7AC8E7722756040D6DC7646003E4040
n00272,45,0,010100002004120000C50C439AA77460403ACFD8976C3D4040
n00273,45,0,01010000200412000007318628D5746040C00644882B3D4040
n00277,45,0,01010000200412000020C14307136B6040AF473C3487FD3F40
n00279,45,0,0101000020041200003C516DCBDB6A604076ACAD3319024040
n00282,45,0,010100002004120000749C363E6E6A60406B274A4222FD3F40
n00283,45,0,01010000200412000005A3923A416B6040EC2A494332FD3F40
n00286,45,0,0101000020041200005C1723B78B74604034153D4BEB354040
n00287,45,0,0101000020041200006F01B221497460407358D06A37344040
n00290,45,0,0101000020041200005C7A8F8EC6736040E7D374875E354040
n00292,45,0,010100002004120000F4A9BE4E05746040D5B0DF13EB334040
n00296,45,0,010100002004120000022EC8966570604049D6E1E82A324040
n00297,45,0,0101000020041200003250BE450C74604014FDEB2642374040
n00298,45,0,0101000020041200005094DFFD0C746040946C753925364040
n00299,45,0,010100002004120000BFE25FBABF6C60400AFC3CA132973F40
n00302,45,0,010100002004120000E12B15AF0D6C6040AF16E98F7A9D3F40
n00303,45,0,0101000020041200004EC7AD93446C60403633445F8B9B3F40
n00306,45,0,0101000020041200003DB9A640E66B60406D1E87C1FC973F40
n00307,45,0,0101000020041200004B3F3CA6C96B6040A90A5751CD903F40
n00309,45,0,010100002004120000AE28CA4AF86B6040C31E245525AD3F40
n00311,45,0,010100002004120000F9A81A18D4696040C0907AF42B9E3F40
n00312,45,0,010100002004120000964C0460F2676040428E52AE95A33F40
n00313,45,0,010100002004120000FD8117220C6B6040DA56B3CEF8903F40
n00315,45,0,0101000020041200007C32B55B016C6040780DFAD2DB873F40
n00316,45,0,010100002004120000E2EFCD258B6A6040CD60E701878F3F40
n00317,45,0,010100002004120000E60C20D7E1636040D0AD2182BBB53F40
n00318,45,0,0101000020041200000C3B8C493F636040B15A4F6331BA3F40
n00319,45,0,010100002004120000C356BF88EC636040BA4E232D95BB3F40
n00320,45,0,0101000020041200003D7BD399E06360401A0923AC7CBB3F40
n00321,45,0,0101000020041200001CB1169FC263604080F9BF7EE3BA3F40
n00323,45,0,0101000020041200003FF1AD59F85960400D33349E08064040
n00325,45,0,010100002004120000B5AFF2BA347560407EA19119B94C4040
n00326,45,0,01010000200412000025F5543D4F7A604075ADBD4F555A4040
n00327,45,0,0101000020041200001E60F767906E6040A593B60254EE3F40
n00328,45,0,010100002004120000FA55CA7CD16D604043FF04172BF03F40
n00330,45,0,010100002004120000F97F7AD8306D6040E7751FDB8DE53F40
n00331,45,0,010100002004120000D8A08A76306E6040965E9B8D95D23F40
n00332,45,0,010100002004120000EFC8586D3E6F6040058074FBF6024040
n00335,45,0,01010000200412000066C0594A166F6040F0726C98FCFA3F40
n00336,45,0,010100002004120000F4B8B942E96C6040C1EA234B41D43F40
n00337,45,0,010100002004120000434AFD06F76D6040218DAFE2F9D33F40
n00338,45,0,0101000020041200008EA960F9D86D60401318A18E7DDD3F40
n00339,45,0,010100002004120000579EF64ACF6D6040D69F0E7569DF3F40
n00340,45,0,0101000020041200001EEE34E3FE646040BD2FD39BF61C4040
n00341,45,0,0101000020041200004803D3C4D670604001608610A1184040
n00342,45,0,0101000020041200002A3B585AE17060407C86CB8525194040
n00343,45,0,010100002004120000842051B2265F604067FCB1FFF0F93F40
n00344,45,0,01010000200412000068887489F45F6040F09C77ADCEFB3F40
n00345,45,0,010100002004120000ACE694DB915F604094BA0963B0FF3F40
n00346,45,0,0101000020041200003221E692EA5F60404D9C8136DEFA3F40
n00347,45,0,0101000020041200001ED1F35D805D60402BC9F08E42014040
n00349,45,0,010100002004120000F67585E31E696040203E552A4D624040
n00350,45,0,010100002004120000F467E498D16D60400BCCAF8B474F4040
n00351,45,0,0101000020041200001A16A3AE356C604033F55F8CED544040
n00352,45,0,01010000200412000067AE1DD6256D60400B2D46B8240C4040
n00353,45,0,0101000020041200007EFC4A8C8A6C604010D54AD702114040
n00355,45,0,0101000020041200006AC427F8417560405DB8BDEEBE3E4040
n00356,45,0,01010000200412000038F92D3A59756040ADF886C2673E4040
n00359,45,0,0101000020041200005200D6F42A766040F4A62215C6574040
n00363,45,0,01010000200412000041FFF3EAD2616040C853A06010FA3F40
n00364,45,0,010100002004120000E5BA849EA8656040FBAB6CC438F63F40
n00365,45,0,0101000020041200004DB626825D69604023371EC76A044040
n00369,45,0,0101000020041200009392793F096B604050C9946AFA9F3F40
n00370,45,0,0101000020041200009487855AD36B6040CB1C812ED0883F40
n00371,45,0,0101000020041200005E280582656D604055B07C4C5A9B3F40
n00001,22,0,010100002004120000897148B4EE62614043B577FCCD774140
n00004,22,0,010100002004120000F4684F6E4064614091F2936A9F764140
n00007,22,0,0101000020041200004EB0A4810463614089EFC4AC177C4140
n00014,22,0,0101000020041200002491C71D005E6140ECE4677E90844140
n00023,22,0,0101000020041200005028FA3207606140B6CE09EB10774140
n00034,22,0,010100002004120000677110BE415E6140F065474F36564140
n00053,22,0,010100002004120000DB13C9FCC85861404E85D3DDD0624140
n00058,22,0,01010000200412000050093EBCDD6161403A22DFA5D4664140
n00079,22,0,0101000020041200007B74D99E0F3F61409489B6BEA3564140
n00093,22,0,010100002004120000B68DF5C3BE426140F32B8CE3765E4140
n00097,22,0,010100002004120000BEDEFDF1DE42614097299C93CD5F4140
n00098,22,0,010100002004120000BC0C5AA3F9426140B17FE89326604140
n00107,22,0,01010000200412000053550D672330614006E0FA0B98594140
n00108,22,0,0101000020041200007B7775D88E306140D25E33AFD9564140
n00111,22,0,010100002004120000168497855B43614054313AC54F534140
n00121,22,0,0101000020041200000A6EFF25C4436140BCFAC275D6544140
n00123,22,0,010100002004120000D6E429AB295C61402C6920F186A64140
n00134,22,0,010100002004120000B78608EEB65D61405540EB2B59A54140
n00137,22,0,010100002004120000028F5EC3825D61409518BAC8F39E4140
n00145,22,0,010100002004120000AD495C6C7F5D6140FBDEF0CC15A74140
n00149,22,0,0101000020041200004DA1F31A3B5D6140169BFB500E904140
n00154,22,0,01010000200412000046F762DE595D61403A4030478F8B4140
n00165,22,0,010100002004120000FEA902FF653C61403325485B4B694140
n00166,22,0,010100002004120000B2E611ED343E6140669C2BEF4F734140
n00167,22,0,0101000020041200009E280989B43D6140DFC2BAF1EE6A4140
n00168,22,0,0101000020041200009B560A819C3D61401AB9B8D7936A4140
n00170,22,0,010100002004120000276085A5CB3C614075D080D5EC654140
n00174,22,0,01010000200412000020196140655D61401FA2D11DC4AE4140
n00176,22,0,01010000200412000067C8C221A55F61403590D37C3AAE4140
n00181,22,0,010100002004120000958E835CB35C61406F14B4249B8B4140
n00200,22,0,010100002004120000EA12C42FAB59614051F69672BE904140
n00209,22,0,0101000020041200006D794034CE5A61407FEDAA51598D4140
n00211,22,0,010100002004120000A62A6D714D5A614075012F336C8F4140
n00229,22,0,01010000200412000012B81A7E9C496140AD90A806506D4140
n00230,22,0,010100002004120000EE388FD48C496140F13B97F3D66D4140
n00234,22,0,010100002004120000CE8F1A6EDB496140D8D2A3A99E6C4140
n00237,22,0,01010000200412000051B758F649496140A6738FB63B6D4140
n00243,22,0,0101000020041200009BB635D84A4A6140E19E42098E684140
n00258,22,0,0101000020041200002A2389B93F486140B60600D8CA604140
n00263,22,0,010100002004120000A13DA8D5A14861402C21698187624140
n00266,22,0,0101000020041200009F5BE84A0448614009AB0C3E28634140
n00294,22,0,010100002004120000C49CFB06814D61402724E36256824140
n00296,22,0,010100002004120000B28174B1A94D614091F52FA41E814140
n00353,22,0,01010000200412000041ECF1E7404F6140273DC21F34834140
n00359,22,0,01010000200412000055C3D9081F53614093196F2BBD8E4140
n00371,22,0,0101000020041200000DD3AD8D674F61402146BE011C854140
n00399,22,0,010100002004120000DA9255116E3D6140909D5CF8665C4140
n00400,22,0,010100002004120000AD365A69ED3C614000CADFBDA3644140
n00403,22,0,0101000020041200005F80D82D5D3D6140C905C2A96A5A4140
n00404,22,0,0101000020041200003D00F3DAB63D61405B046B41945A4140
n00409,22,0,010100002004120000175B52FF2A3D61402C80290307574140
n00412,22,0,0101000020041200003251291BFB5E61402A77FA9C168F4140
n00427,22,0,010100002004120000270692C1DB4261406EA296E656734140
n00443,22,0,010100002004120000D8DFC8F22448614091A630A5E46C4140
n00446,22,0,0101000020041200008E2A792B41486140A2C90FA672704140
n00449,22,0,010100002004120000DFA238ECA3486140BE199018986C4140
n00457,22,0,010100002004120000708AD8718D476140A6457D923B6B4140
n00461,22,0,01010000200412000097E65608EB4761406C9AD255156A4140
n00471,22,0,010100002004120000B7C4DB943C626140200DA7CCCD874140
n00475,22,0,0101000020041200002B93D04C663B6140D41632B2BF564140
n00477,22,0,010100002004120000D71DE626453A61404FA61B727D5A4140
n00478,22,0,010100002004120000624A24D14B3A6140A0E238F06A5E4140
n00480,22,0,01010000200412000034DAAA24F23B6140BC95253ACB5F4140
n00481,22,0,010100002004120000D17D946C103C6140E0D6DD3CD55E4140
n00485,22,0,010100002004120000EA1AD24D073B61401D59F96530604140
n00486,22,0,0101000020041200000A664CC11A3B614023E87981A35B4140
n00487,22,0,01010000200412000014611E8D1E3B614021EA3E00A9684140
n00488,22,0,0101000020041200007484C2567F3A6140A91B83A9C15C4140
n00489,22,0,01010000200412000097097547F53A6140096355CE286B4140
n00490,22,0,010100002004120000D4AF1985493A6140B2BAD573D25C4140
n00494,22,0,010100002004120000FD2D01F8273C6140E81B2CF75D5A4140
n00495,22,0,010100002004120000A10216AF683B614089F667F5C45B4140
n00496,22,0,010100002004120000446FF1F09E3B6140FB2477D8445B4140
n00497,22,0,01010000200412000066063B0FF83A6140B2A7D370805A4140
n00498,22,0,01010000200412000003ECA353573C61405E1DB6E33C5A4140
n00501,22,0,01010000200412000088EF69F3A43A6140B19F6A99B1604140
n00502,22,0,01010000200412000015168156853C614001309E4143574140
n00505,22,0,0101000020041200001C6217A0483A61405B3343F4B55B4140
n00506,22,0,010100002004120000F80F33454A3A6140F041BE3A7D5B4140
n00507,22,0,0101000020041200001EB5D32016356140D59E48E6475F4140
n00509,22,0,0101000020041200003965C97784336140C5DF9B4B16614140
n00510,22,0,0101000020041200002C68B51B5834614031A715F07C5D4140
n00515,22,0,010100002004120000D6A480590636614031A072A7CF5D4140
n00525,22,0,010100002004120000EE467AACB433614011AEDBFBAF574140
n00528,22,0,010100002004120000108013650A346140D31C0F6C4B594140
n00529,22,0,0101000020041200001AAEC4F29D366140777AEFB95D5A4140
n00537,22,0,0101000020041200006C3F19E383366140EE08A7052F5A4140
n00538,22,0,0101000020041200004EE5FE347F366140522B4CDF6B5B4140
n00543,22,0,010100002004120000529D0E64BD376140BB5E9A22C05C4140
n00550,22,0,010100002004120000F4F862940C3861409D007965CD5A4140
n00557,22,0,0101000020041200003EA2F8E7183A6140750877C2A6784140
n00564,22,0,01010000200412000061D80693073D6140083653C664804140
n00565,22,0,0101000020041200004AFE710CD23C6140EF22A70AA17A4140
n00566,22,0,0101000020041200006ABE4A3EF63861407DA8D9A8F3714140
n00571,22,0,010100002004120000FF3053A4CC3961400D2DFC2A0A6D4140
n00574,22,0,0101000020041200005127EA164B39614098D98C78575D4140
n00575,22,0,0101000020041200002C4BCF4F8C39614078DB3B5920634140
n00576,22,0,0101000020041200009936D2086C396140CA13AD8152624140
n00577,22,0,0101000020041200000CFBE2F75B396140C964277277604140
n00579,22,0,0101000020041200009A71642F65386140F70890FC1C5C4140
n00580,22,0,0101000020041200003AE7A7388E396140F830202004624140
n00584,22,0,010100002004120000A146C60F3A3861408CF50D4C6E5F4140
n00586,22,0,010100002004120000E35B0EAA43386140A400ACE9D55C4140
n00587,22,0,010100002004120000D305ABA05838614089FF852F5D5B4140
n00589,22,0,010100002004120000405C284FCF386140E76AD03C25644140
n00590,22,0,0101000020041200000E0D3098E4386140B519A721AA604140
n00592,22,0,0101000020041200009A2496947B396140B340BB438A5D4140
n00593,22,0,01010000200412000064BD079EB138614085285FD0425E4140
n00595,22,0,0101000020041200003D5EEDCDD43861403F068607285C4140
n00607,22,0,01010000200412000002881634C8386140AE6B0FD65A594140
n00608,22,0,010100002004120000CA7443AEEF386140EA12C42FAB584140
n00610,22,0,01010000200412000038EB9D1BA437614042A154B1E7574140
n00611,22,0,010100002004120000C3561A425F386140F3A55C86A4584140
n00613,22,0,01010000200412000075FFFDCE1B376140BE423058BB554140
