gmlid,idref,area,fixed,lat,lon
n00449,2517042263,21,50,35.3841942,136.7474894
n00450,2517042259,21,50,35.3824746,136.7577166
n00451,null,21,0,35.531155,136.8466232
n00452,null,21,0,35.5440692,136.8235015
n00453,null,21,0,35.5199624,136.8555284
n00454,null,21,0,35.5995814,136.8170245
n00455,null,21,0,35.4552592,136.9587714
n00456,null,21,0,35.4815761,136.9353353
n00457,null,21,0,35.5682933,137.0096443
n00458,null,21,0,35.4457264,136.9555629
n00459,3393833542,21,50,35.4826134,136.920537
n00460,2866072823,21,1,35.4788859,136.8988417
n00461,null,21,0,35.4658315,136.8988975
n00462,null,21,0,35.4510825,136.8850593
n00463,2866072828,21,1,35.490939,136.9206068
n00464,null,21,0,35.4777791,136.9193199
n00465,null,21,0,35.4748016,136.8581221
n00466,null,21,0,35.6111567,137.0229125
n00467,null,21,0,35.4959209,136.8922175
n00468,4416141759,21,1,35.4894239,136.895342
n00469,2866072841,21,1,35.4906245,136.8985015
n00470,null,21,0,35.4990118,136.8899488
n00471,null,21,0,35.4854361,136.8759134
n00472,null,21,0,35.5157622,136.9709288
n00473,null,21,0,35.4828465,136.9393697
n00474,null,21,0,35.4688632,136.8652693
n00475,null,21,0,35.4732637,136.861626
n00476,null,21,0,35.4805425,136.9284269
n00477,null,21,0,35.5100179,136.8976757
n00478,null,21,0,35.4969172,136.919841
n00479,null,21,0,35.5201437,136.9067974
n00480,null,21,0,35.5682937,137.0096432
n00481,2866072846,21,1,35.4883791,136.9283389
n00482,null,21,0,35.4865964,136.9080845
n00483,null,21,0,35.4727135,136.9151569
n00484,null,21,0,35.3911683,136.8228059
n00485,null,21,0,35.4070008,136.8297964
n00486,null,21,0,35.4066525,136.8486086
n00487,7639616038,21,50,35.3989216,136.8551524
n00488,7639616031,21,50,35.3983657,136.8529965
n00489,null,21,0,35.4089114,136.8466918
n00490,null,21,0,35.3836889,136.8403729
n00491,null,21,0,35.4140143,136.8777733
n00492,null,21,0,35.4164752,136.8641231
n00493,null,21,0,35.420795,136.8452524
n00494,null,21,0,35.4173602,136.8561564
n00495,null,21,0,35.4076545,136.8535193
n00496,2521956043,21,1,35.385114,136.8873886
n00497,2521956037,21,50,35.3857891,136.8877454
n00498,null,21,0,35.3635362,136.8281651
n00499,null,21,0,35.3616966,136.8316461
n00500,null,21,0,35.3901722,136.8299608
n00501,null,21,0,35.3936467,136.8435339
n00502,2521956045,21,50,35.3918581,136.8339076
n00503,null,21,0,35.4050501,136.9101997
n00504,null,21,0,35.4069483,136.9611289
n00505,1674433557,21,50,35.4024825,136.9423453
n00506,null,21,0,35.387258,136.9160917
n00507,null,21,0,35.4027567,136.9329787
n00508,null,21,0,35.4031734,136.9362839
n00509,7639433303,21,50,35.402716,136.895547
n00510,null,21,0,35.4034556,136.9023961
n00511,null,21,0,35.2703298,136.6672666
n00512,null,21,0,35.2436437,136.6544389
n00513,null,21,0,35.2476939,136.6282599
n00514,2419735805,21,50,35.1539156,136.6342076
n00515,null,21,0,35.2465085,136.5707187
n00516,null,21,0,35.2237186,136.6068723
n00517,4382019115,21,1,35.2252815,136.595896
n00518,null,21,0,35.214266,136.6025443
n00519,null,21,0,35.1863867,136.627664
n00520,4383020854,21,1,35.2237644,136.6388469
n00521,694622162,21,50,35.2224515,136.6438251
n00522,null,21,0,35.223057,136.6460604
n00523,null,21,0,35.2054135,136.6669838
n00524,null,21,0,35.2233742,136.6344078
n00525,null,21,0,35.2215485,136.634239
n00526,null,21,0,35.1620416,136.6701325
n00527,null,21,0,35.4062789,137.0224315
n00528,2411753862,21,1,35.4008237,137.0092446
n00529,null,21,0,35.4299509,137.0158348
n00530,null,21,0,35.4309043,137.0202043
n00531,null,21,0,35.3954175,137.0208393
n00532,null,21,0,35.4292332,137.0649391
n00533,null,21,0,35.4377387,137.0601643
n00534,null,21,0,35.4306279,137.088458
n00535,null,21,0,35.3830948,137.1000515
n00536,null,21,0,35.376786,137.1146631
n00537,570401501,21,1,35.4170922,137.0379409
n00538,null,21,0,35.4268264,137.0298924
n00539,null,21,0,35.4342017,137.0442176
n00540,2456437256,21,1,35.4244783,137.0626397
n00541,null,21,0,35.4141377,137.0585194
n00542,null,21,0,35.4220983,137.0631849
n00543,2434620128,21,1,35.4136366,137.0507414
n00544,null,21,0,35.4127978,137.0607521
n00545,null,21,0,35.4186555,137.0625137
n00546,null,21,0,35.409135,137.1005079
n00547,null,21,0,35.4068643,137.0610695
n00548,null,21,0,35.4268787,137.049573
n00549,null,21,0,35.4232861,137.0429958
n00550,null,21,0,35.414371,137.0305613
n00551,null,21,0,35.4390195,137.0959992
n00552,null,21,0,35.415041,137.1708687
n00553,null,21,0,35.435384,137.1204495
n00554,null,21,0,35.4380672,137.0789737
n00555,null,21,0,35.4861097,136.9806122
n00556,null,21,0,35.4761091,136.9786679
n00557,null,21,0,35.4597077,137.091359
n00558,null,21,0,35.5289709,137.2428942
n00559,null,21,0,35.4808351,137.1419319
n00560,null,21,0,35.4766982,137.1482127
n00561,null,21,0,35.4776322,137.1394597
n00562,null,21,0,35.676312,137.2718753
n00563,null,21,0,35.5724178,137.2110329
n00564,null,21,0,35.5951521,137.3203097
n00565,null,21,0,35.5862373,137.3419958
n00566,4396751066,21,50,35.5776902,137.1891989
n00567,null,21,0,35.6411114,137.3221392
n00568,null,21,0,35.6677904,137.3557176
n00569,null,21,0,35.49139,137.0671256
n00570,null,21,0,35.4841749,137.064801
n00571,5038001192,21,1,35.5113224,137.0849898
n00572,5038001189,21,1,35.5370577,137.1139077
n00573,null,21,0,35.5750327,137.0872848
n00574,null,21,0,35.5735198,137.085916
n00575,null,21,0,35.5425305,137.1191097
n00576,null,21,0,35.4321381,137.002343
n00577,null,21,0,35.4263301,136.9871294
n00578,null,21,0,35.7596171,137.3104615
n00579,null,21,0,35.874129,137.2081595
n00580,null,21,0,35.9094053,137.2044821
n00581,null,21,0,35.897573,137.2078245
