gmlid,area,fixed,lat,lon
n22533,3,0,39.100104,141.080953
n22534,3,0,39.11649,141.068731
n22535,3,0,39.141211,141.091228
n22536,3,0,39.636981,140.924283
n22537,3,0,39.694778,140.971398
n22538,3,50,39.692026,140.942917
n22539,3,50,39.662951,140.968386
n22540,3,0,39.739127,140.953072
n22541,3,0,39.725197,140.966771
n22542,3,50,40.038893,141.442276
n22543,3,0,39.981958,141.40616
n22544,3,0,40.079903,141.413892
n22545,3,0,40.005934,141.478796
n22546,3,0,39.971755,141.505476
n22547,3,0,40.125048,141.372733
n22548,3,0,39.969727,141.172027
n22549,3,0,39.961396,141.216744
n22550,3,0,39.971673,141.222021
n22551,3,0,39.941367,141.329535
n22552,3,50,39.919735,141.202303
n22553,3,0,39.73386,141.088074
n22554,3,0,39.728457,141.075351
n22555,3,0,39.703949,141.071263
n22556,3,50,39.710031,141.023991
n22557,3,0,39.776111,141.132299
n22558,3,0,39.798783,141.142081
n22559,3,0,39.840156,141.112094
n22560,3,0,39.577551,141.163707
n22561,3,50,39.497285,141.249813
n22562,3,0,39.556513,141.107454
n22563,3,0,39.551167,141.229812
n22564,3,0,39.536803,141.18505
n22565,3,0,39.538665,141.120657
n22566,3,0,39.58723,141.199538
n22567,3,0,39.538734,141.161753
n22568,3,50,39.553109,141.167596
n22569,3,50,39.595047,141.125932
n22570,3,0,39.623257,141.138253
n22571,3,0,39.609492,141.17176
n22572,3,50,39.613107,141.152531
n22573,3,0,39.638045,141.112254
n22574,3,0,39.296649,140.835323
n22575,3,50,39.313385,140.777449
n22576,3,50,39.319372,140.779751
n22577,3,50,39.441182,140.753035
n22578,3,50,39.554169,140.845354
n22579,3,50,39.395616,140.757641
n22580,3,50,39.481161,140.80041
n22581,3,0,39.278588,140.772589
n22582,3,50,39.345975,140.771811
n22583,3,0,39.299793,140.735979
n22584,3,0,39.176762,141.071784
n22585,3,50,39.227486,141.093512
n22586,3,50,39.203427,141.113446
n22587,3,0,39.234255,141.055672
n22588,3,50,38.994839,141.143174
n22589,3,50,38.997616,141.109288
n22590,3,50,38.990117,141.113177
